StateAb,DivisionId,DivisionNm,FromCandidateId,FromCandidatePartyAb,FromCandidatePartyNm,FromCandidateSurname,FromCandidateGivenNm,FromCandidateBallotPosition(0 for TPP candidates),ToCandidateId,ToCandidatePartyAb,ToCandidatePartyNm,ToCandidateSurname,ToCandidateGivenNm,ToCandidateBallotPosition,TransferCount,TransferPercentage
NSW,149,Sydney,41984,SAL,Socialist Alliance,EVANS,Rachel,2,41561,LP,Liberal,XU,Alex,3,362,15.240
NSW,149,Sydney,41910,ON,Pauline Hanson's One Nation,TORBARAC,Vedran,4,41342,ALP,Labor,PLIBERSEK,Tanya,1,930,25.150
NSW,149,Sydney,41910,ON,Pauline Hanson's One Nation,TORBARAC,Vedran,4,41561,LP,Liberal,XU,Alex,3,2768,74.850
NSW,149,Sydney,41638,GRN,The Greens,VELEZ,Luc,5,41342,ALP,Labor,PLIBERSEK,Tanya,1,21640,93.430
NSW,149,Sydney,41638,GRN,The Greens,VELEZ,Luc,5,41561,LP,Liberal,XU,Alex,3,1522,6.570
NSW,151,Warringah,0,,,First Preferences,,0,41341,ALP,Labor,VARGHESE-FELL,Celine,2,16738,31.470
NSW,151,Warringah,0,,,First Preferences,,0,41500,LP,Liberal,ROGERS,Jaimee,7,36446,68.530
NSW,151,Warringah,32467,IND,Independent,STEGGALL,Zali,1,41341,ALP,Labor,VARGHESE-FELL,Celine,2,35490,77.850
NSW,151,Warringah,32467,IND,Independent,STEGGALL,Zali,1,41500,LP,Liberal,ROGERS,Jaimee,7,10100,22.150
NSW,151,Warringah,41685,CYA,Trumpet of Patriots,ROSE,Anthony,3,41341,ALP,Labor,VARGHESE-FELL,Celine,2,398,28.090
NSW,151,Warringah,41685,CYA,Trumpet of Patriots,ROSE,Anthony,3,41500,LP,Liberal,ROGERS,Jaimee,7,1019,71.910
NSW,151,Warringah,40624,IND,Independent,SPRATT,David Michael,4,41341,ALP,Labor,VARGHESE-FELL,Celine,2,503,42.950
NSW,151,Warringah,40624,IND,Independent,SPRATT,David Michael,4,41500,LP,Liberal,ROGERS,Jaimee,7,668,57.050
NSW,151,Warringah,41842,LTP,Libertarian,McLEOD,Sean,5,41341,ALP,Labor,VARGHESE-FELL,Celine,2,257,17.090
NSW,151,Warringah,41842,LTP,Libertarian,McLEOD,Sean,5,41500,LP,Liberal,ROGERS,Jaimee,7,1247,82.910
NSW,151,Warringah,41941,ON,Pauline Hanson's One Nation,WRIGHT,Gavin,6,41341,ALP,Labor,VARGHESE-FELL,Celine,2,336,16.990
NSW,151,Warringah,41941,ON,Pauline Hanson's One Nation,WRIGHT,Gavin,6,41500,LP,Liberal,ROGERS,Jaimee,7,1642,83.010
NSW,151,Warringah,41637,GRN,The Greens,HARVEY,Bonnie,8,41341,ALP,Labor,VARGHESE-FELL,Celine,2,8912,88.670
NSW,151,Warringah,41637,GRN,The Greens,HARVEY,Bonnie,8,41500,LP,Liberal,ROGERS,Jaimee,7,1139,11.330
NSW,251,Watson,0,,,First Preferences,,0,41331,ALP,Labor,BURKE,Tony,1,39763,75.960
NSW,251,Watson,0,,,First Preferences,,0,41499,LP,Liberal,ALAM,Zakir,6,12585,24.040
NSW,251,Watson,41642,LTP,Libertarian,HADCHITI,Vanessa,2,41331,ALP,Labor,BURKE,Tony,1,1287,36.160
NSW,251,Watson,41642,LTP,Libertarian,HADCHITI,Vanessa,2,41499,LP,Liberal,ALAM,Zakir,6,2272,63.840
NSW,251,Watson,40898,IND,Independent,BASYOUNY,Ziad,3,41331,ALP,Labor,BURKE,Tony,1,9988,81.810
NSW,251,Watson,40898,IND,Independent,BASYOUNY,Ziad,3,41499,LP,Liberal,ALAM,Zakir,6,2221,18.190
NSW,251,Watson,41976,IND,Independent,KHAN,Zain,4,41331,ALP,Labor,BURKE,Tony,1,595,56.400
NSW,251,Watson,41976,IND,Independent,KHAN,Zain,4,41499,LP,Liberal,ALAM,Zakir,6,460,43.600
NSW,251,Watson,41920,ON,Pauline Hanson's One Nation,TREVENA,Elisha,5,41331,ALP,Labor,BURKE,Tony,1,835,31.230
NSW,251,Watson,41920,ON,Pauline Hanson's One Nation,TREVENA,Elisha,5,41499,LP,Liberal,ALAM,Zakir,6,1839,68.770
NSW,251,Watson,41847,FFPA,Family First,MANNAH,John,7,41331,ALP,Labor,BURKE,Tony,1,567,39.710
NSW,251,Watson,41847,FFPA,Family First,MANNAH,John,7,41499,LP,Liberal,ALAM,Zakir,6,861,60.290
